ID,Name,Position,Organisation,Linkedin-Link,Webseite,Category,Description
11,Dr. Christian Dahlheim,CEO,Volkswagen Financial Services,https://www.linkedin.com/in/dr-christian-dahlheim-026a48a4/,https://www.vwfs.com/,Etablierte Unternehmen,"Überblick: Dr. Christian Dahlheim ist seit Anfang 2022 Vorstandsvorsitzender von Volkswagen Financial Services AG und leitet eines der zentralen Mobilitätsdienstleistungs-Zentren innerhalb des Konzerns. Seine Mission: Nachhaltigkeit, Digitalisierung und Flexibilität in der Mobilität vereinen.

Mut & Pioniergeist: Er hat früh auf Bike-Leasing gesetzt und damit die strategische Erweiterung hin zur multimodalen Mobilitätsplattform eingeleitet.

Innovationsgrad: Unter ihm wurde das Konzept Life Cycle Offers etabliert – eine ganzheitliche Lösung für Mobilität. Gleichzeitig treibt er den Ausbau der E-Auto-Verträge massiv voran.

Umsetzungskraft & Wirkung: Die Geschäftskennzahlen bestätigen den Erfolg: stark gesteigerte Ergebnisse und ein wachsender Fahrzeugvertragspool zeugen von seiner effektiven Umsetzungskraft.

Relevanz für die Mobilitätswende: Dahlheim lenkt einen etablierten Finanzdienstleister in Richtung nachhaltiger Mobilität und zeigt, wie Mobilitätswende im Konzern gelingen kann.

Vorbildfunktion & Sichtbarkeit: Seine Führung zeigt, dass Transformation auch in großen, traditionsreichen Unternehmen möglich ist – durch klare Vision und strategische Weitsicht."
12,Dr. Corsin Sulser,Gründer,Parcandi,https://www.linkedin.com/in/corsin-sulser/,http://www.parcandi.com,"Start-ups, Scale-ups & Katalysatoren","Überblick: Gründer der Parcandi AG; digitale Plattform, die freie Privat‑/Firmenparkplätze in Echtzeit mit Suchenden matcht. Ergebnis: weniger Parksuchverkehr, weniger Stau/CO₂, mehr Lebensqualität.
Mut & Pioniergeist: Verließ mit >40 den sicheren Konzernjob, machte ein internes Projekt zum eigenen Start‑up und löste ein Alltagsproblem neu.
Innovationsgrad: App‑gestützte, IoT‑fähige Teilung bestehender Parkflächen (Reservierung, Zugang, Abrechnung) statt Neubau von Parkhäusern.
Umsetzungskraft & Wirkung: Schnelles Wachstum in Schweizer Städten, erste Standorte in DE; Partnerschaften mit Mobilitätsclubs/Immobilien; lokal messbar weniger Suchverkehr.
Relevanz & Vorbild: Hebelt einen oft übersehenen Faktor der Verkehrswende (Parken); zeigt, wie Ressourcenteilung Infrastruktur entlastet. Vorbild für Intrapreneur‑zu‑Gründer‑Karrieren."
13,Dr. Jan Hegner,"
Co-Founder & SVP Sales",dromos,https://www.linkedin.com/in/dr-jan-hegner-080864110/,http://www.dromos.network/,"Start-ups, Scale-ups & Katalysatoren","Jan Hegner ist Senior Vice President bei Dromos, einem Unternehmen, das autonome Kapselsysteme für den Personentransport entwickelt. Die Fahrzeuge fahren auf reservierten Spuren, sind rund um die Uhr verfügbar und können bestehende Infrastrukturen wie stillgelegte Bahnstrecken reaktivieren.

Mut & Pioniergeist: Der Ansatz, brachliegende Infrastruktur mit neuer Technologie wiederzubeleben, ist ein innovativer Beitrag zur Verkehrswende.
Innovationsgrad: Die Kombination aus autonomem Betrieb, kleinem Fahrzeugformat und flexibler Streckenführung ist neuartig im ÖPNV.
Umsetzungskraft & Wirkung: Erste Projekte zeigen, dass Dromos eine kostengünstige und effiziente Ergänzung zum klassischen Nahverkehr sein kann.
Relevanz für die Mobilitätswende: Dromos bietet Städten die Möglichkeit, das ÖPNV-Angebot ohne massive Bauprojekte zu erweitern.
Vorbildfunktion & Sichtbarkeit: Hegner bringt jahrzehntelange Branchenerfahrung ein und zeigt, wie etablierte Expertise und Startup-Innovation zusammenwirken."
14,Fabian Beste,Co-Founder & CEO,4Screen,https://www.linkedin.com/in/fabian-beste-13758177/,https://4screen.com/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: Fabian Beste gründete mit Mitte 20 4screen und erschloss den bis dahin unbesetzten Markt für In-Car-Marketing. Er verknüpfte die Automobil- und Werbebranche und gewann als Branchenneuling namhafte OEMs – ein klares Zeichen für seinen Pioniergeist.

Innovationsgrad: 4screen ist die weltweit erste Plattform, die Autofahrer in Echtzeit über das Fahrzeugdisplay mit lokalen Angeboten versorgt. Die Integration in Infotainmentsysteme großer Marken, strenger Datenschutz und personalisierte Inhalte setzen neue Maßstäbe für Connected-Car-Dienste.

Umsetzungskraft & Wirkung: Seit 2017 wuchs 4screen auf fast 100 Mitarbeitende, schloss Millionenfinanzierungen ab und ist in mehreren Ländern aktiv. Die Technologie läuft bereits in Fahrzeugen großer Hersteller und bringt Fahrern, lokalen Händlern und OEMs messbaren Mehrwert.

Relevanz für die Mobilitätswende: Die Plattform stärkt die Akzeptanz vernetzter und elektrischer Fahrzeuge, erleichtert das Finden von Ladepunkten und hilft, unnötige Wege zu vermeiden. Sie eröffnet OEMs neue Erlöse, die in nachhaltige Mobilitätslösungen investiert werden können.

Vorbildfunktion & Sichtbarkeit: Beste steht für eine neue Gründer-Generation im Mobilitätssektor. Er tritt international als Sprecher für die Vision vom „Auto als digitale Plattform“ auf und inspiriert Start-ups wie etablierte Unternehmen zu mutigen, nutzerzentrierten Innovationen."
15,Felix Pörnbacher,Co-Founder & Co-CEO,DeepDrive,https://www.linkedin.com/in/felixpoe/,http://deepdrive.tech/,"Start-ups, Scale-ups & Katalysatoren","Felix Pörnbacher ist Co-Gründer und Co-CEO von DeepDrive, einem Münchner High-Tech-Startup, das einen neuartigen Elektromotor entwickelt hat. Der Motor ist leicht, kostengünstig, effizient und kann sowohl zentral als auch als Radnabenmotor verbaut werden. Er bietet mehr Reichweite bei geringeren Produktionskosten und spart Materialien ein. Pörnbacher hat gemeinsam mit seinem Team Investoren aus der Automobilindustrie überzeugt und bereitet die Serienfertigung vor.

Mut & Pioniergeist: Der Markteintritt mit einer disruptiven Technologie in einem von Großkonzernen dominierten Markt erfordert Mut und visionäres Denken.
Innovationsgrad: Die Motorarchitektur von DeepDrive stellt einen signifikanten Fortschritt in Effizienz, Materialeinsatz und Flexibilität dar.
Umsetzungskraft & Wirkung: Bereits vor Serienstart hat DeepDrive Partnerschaften mit führenden OEMs geschlossen – ein Indikator für die Praxistauglichkeit und Marktrelevanz.
Relevanz für die Mobilitätswende: Effizientere, ressourcenschonendere Antriebe sind ein Schlüsselfaktor für die flächendeckende Elektrifizierung.
Vorbildfunktion & Sichtbarkeit: Pörnbacher zeigt, dass auch junge Unternehmen technologische Standards neu setzen können."
16,Franz Reiner,CEO,Mercedes Benz Mobility AG,https://www.linkedin.com/in/franz-reiner/,https://www.mercedes-benz-mobility.com/en/,Etablierte Unternehmen,"Mut & Pioniergeist: Reiner trieb den Wandel von Mercedes-Benz Financial Services zu einem Mobilitätsanbieter voran. Er initiierte die Fusion der Mobilitätsdienste von Daimler und BMW (z. B. Share Now, Free Now) und investierte in Start-ups wie FlixBus – mutige Schritte jenseits des Kerngeschäfts.

Innovationsgrad: Unter seiner Führung entstanden flexible Nutzungskonzepte von „Sekunden bis Jahren“: Auto-Abos, Kurzzeit-Leasing, Carsharing und digitale Finanzprodukte. E-Mobilität wird durch spezielle Leasingangebote und integrierte Ladepakete gefördert.

Umsetzungskraft & Wirkung: Mercedes-Benz Mobility finanziert heute jeden zweiten Mercedes-Benz. Joint Ventures wie Free Now ermöglichen Millionen Fahrten jährlich. Die Beteiligung an FlixMobility unterstützt klimafreundliche Fernmobilität. Digitale Services wie Mercedes pay erschließen neue Geschäftsfelder.

Relevanz für die Mobilitätswende: Reiners Strategie fördert den Übergang vom Besitz zur geteilten Nutzung, steigert die E-Auto-Verbreitung und unterstützt multimodale Angebote. Damit trägt er zur Reduktion von Emissionen und zur besseren Auslastung von Fahrzeugen bei.

Vorbildfunktion & Sichtbarkeit: Er gilt als moderner Gestalter im Automobilsektor, wirbt für Kooperation statt Konkurrenz und fördert Diversität. Als öffentlich sichtbarer Sprecher für integrierte, nachhaltige Mobilität inspiriert er Führungskräfte und Nachwuchs gleichermaßen."
17,Friedrich Dräxlmaier,Chairman of the Administrative Board,DRÄXLMAIER Group ,Kein LinkedIn,https://www.draexlmaier.com/en/,Etablierte Unternehmen,"Überblick: Inhaber der DRÄXLMAIER Group, wandelte den Premium-Zulieferer zu einem Treiber der E-Mobilität und Nachhaltigkeit (Batteriesysteme, Hochvolt-Bordnetze, PV-Ladepark).
Mut & Pioniergeist: Früher Einstieg in Batterietechnologie trotz Branchenfokus auf Verbrenner; fördert interne Innovationskultur.
Innovationsgrad: Entwicklung und Fertigung von Premium-Hochvolt-Batterien, KI-gestützte Produktion, größte PV-Ladeinfrastruktur am Firmensitz.
Umsetzungskraft & Wirkung: Batteriewerk Leipzig in Betrieb, Flotten- und Logistik-Elektrifizierung, jährliche CO₂-Einsparungen von Hunderten Tonnen.
Relevanz/Vorbild: Zulieferer als Schlüsselakteur der Mobilitätswende, Vorbild für ganzheitliche Nachhaltigkeitsstrategien in der Industrie."
18,Günther Schuh,Wissenschaftler I Unternehmer I Innovationen I Produktionsmanagement I Mobilitätslösungen,,https://www.linkedin.com/in/g%C3%BCnther-schuh/,,"Start-ups, Scale-ups & Katalysatoren","Überblick
Prof. Günther Schuh ist Ingenieur, Hochschulprofessor und Seriengründer im Bereich Elektromobilität. Er entwickelte den StreetScooter und später das e.GO Life und gilt als Vordenker für erschwingliche E-Mobilität.

Mut & Pioniergeist
Schuh gründete StreetScooter, als etablierte Hersteller Elektrotransporter noch ablehnten, und führte das Projekt gegen Widerstände zum Erfolg. Mit e.GO wagte er erneut den Bau eines günstigen E-Stadtautos.

Innovationsgrad
Er etablierte agile Entwicklungsprozesse in der Fahrzeugproduktion und setzte auf kostengünstige, zweckoptimierte Fahrzeuge. Zudem initiierte er Projekte wie das Silent Air Taxi.

Umsetzungskraft & Wirkung
15.000 StreetScooter wurden für die Deutsche Post produziert und inspirierten andere Hersteller. e.GO brachte über 1.000 Fahrzeuge auf die Straße und schuf Arbeitsplätze in Aachen.

Relevanz für die Mobilitätswende
Schuh zeigte, dass Elektromobilität auch im günstigen Segment möglich ist, und machte E-Fahrzeuge für breitere Käuferschichten zugänglich.

Vorbildfunktion & Sichtbarkeit
Als Professor und Unternehmer fördert er Gründungen und inspiriert Ingenieure. Seine bodenständige Art und Erfolge machen ihn zu einem glaubwürdigen Vorbild."
19,Horst Graef,Geschäfstführer,deer GmbH,https://www.youtube.com/watch?v=gTYlX-HIdj4&ab_channel=KEA-BW,www.deer-mobility.de,Etablierte Unternehmen,"Überblick: Horst Graef ist Geschäftsführer der deer GmbH, einem innovativen Anbieter für nachhaltige Mobilitätslösungen im ländlichen Raum. Mit Sitz in Baden-Württemberg hat das Unternehmen ein umfangreiches E-Carsharing-Netzwerk aufgebaut, das insbesondere kleinere Städte und Gemeinden mit moderner Elektromobilität versorgt. Unter seiner Leitung entwickelte sich deer zu einem Vorreiter in der Verbindung von kommunaler Infrastruktur, erneuerbaren Energien und digitalem Mobilitätsmanagement.
Mut & Pioniergeist: Graef hat früh das Potenzial erkannt, Carsharing nicht nur auf urbane Zentren zu beschränken, sondern gezielt ländliche Regionen zu erschließen – ein Marktsegment, das von großen Anbietern lange vernachlässigt wurde. Dieses strategische Wagnis erforderte Mut, da die Auslastung und Akzeptanz im ländlichen Raum ungewiss waren. Mit Überzeugungskraft gewann er Gemeinden, Stadtwerke und Energieversorger als Partner und baute ein dezentrales, kommunal verankertes Sharing-Netzwerk auf.
Innovationsgrad: Deer kombiniert E-Carsharing mit einem intelligenten Lademanagement, das regionale Stromerzeugung aus erneuerbaren Quellen einbindet. Die Flotte ist vollelektrisch und wird kontinuierlich über eine nutzerfreundliche App gesteuert. Zudem werden E-Bikes und E-Lastenräder in das Angebot integriert, wodurch multimodale Wegeketten auch außerhalb von Großstädten möglich werden.
Umsetzungskraft & Wirkung: Unter Graefs Führung expandierte deer kontinuierlich und betreibt heute Hunderte Fahrzeuge an Dutzenden Standorten in Süddeutschland. Das Modell hat die Mobilität in strukturschwächeren Regionen spürbar verbessert, CO₂-Emissionen gesenkt und kommunale Verkehrskonzepte modernisiert.
Relevanz für die Mobilitätswende: Graefs Arbeit zeigt, dass die Verkehrswende nicht an der Stadtgrenze haltmachen darf. Deer liefert eine Blaupause, wie nachhaltige Mobilität auch in ländlichen Regionen funktionieren kann – ein entscheidender Faktor für die Erreichung der Klimaziele.
Vorbildfunktion & Sichtbarkeit: Als regional verankerter Unternehmer, der landesweit Strahlkraft entfaltet, steht Graef für praxisnahe, bürgernahe Umsetzung der Mobilitätswende. Seine Projekte werden häufig in regionalen Medien und auf Fachveranstaltungen als Best Practice vorgestellt."
20,Johannes Pallasch,Leiter Nationale Leitstelle Ladeinfrastruktur (Sprecher),NOW – Nationale Leitstelle Ladeinfrastruktur,https://www.linkedin.com/in/johannes-pallasch-13475b64/,http://nationale-leitstelle.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Johannes Pallasch leitet die Nationale Leitstelle Ladeinfrastruktur und koordiniert den bundesweiten Ausbau von Ladepunkten für Elektrofahrzeuge.

Mut & Pioniergeist: Pallasch treibt den Aufbau einer neuen, flächendeckenden Infrastruktur von Grund auf voran.
Innovationsgrad: Digitale Tools und strategische Programme machen das Laden einfacher und zuverlässiger.
Umsetzungskraft & Wirkung: Die Zahl der Ladepunkte steigt deutlich, Projekte wie das Deutschlandnetz sind auf Kurs.
Relevanz für die Mobilitätswende: Ladeinfrastruktur ist ein zentraler Baustein für den Hochlauf der Elektromobilität.
Vorbildfunktion & Sichtbarkeit: Pallasch ist das öffentliche Gesicht der Ladeoffensive und setzt Impulse für den Markt."
